Row ID,Order ID,Order Date,Region,Category,Sub-Category,Product ID,Product Name,Sales,Quantity,Discount,Profit
1,IN-2022-100001,31-01-2022,Central,Furniture,Bookcases,Fur-Bo-10003,Supreme Storage Rack,27522.99,3,0.0,1651.31
2,IN-2023-100002,22-01-2023,Central,Furniture,Furnishings,Fur-Fu-10004,Raymond Cushions,2278.37,3,0.3,-184.64
3,IN-2021-100003,16-03-2021,West,Furniture,Chairs,Fur-Ch-10004,Supreme Plastic Chair,8112.72,2,0.0,831.37
4,IN-2020-100004,25-05-2020,West,Technology,Accessories,Tec-Ac-10002,Logitech Wireless Mouse,2255.84,3,0.0,426.04
5,IN-2022-100005,28-02-2022,South,Technology,Copiers,Tec-Co-10001,Canon Pixma Printer,15164.57,2,0.3,-451.79
6,IN-2021-100006,15-02-2021,West,Furniture,Tables,Fur-Ta-10004,DeckUp Engineered Wood Table,7774.9,1,0.0,1036.55
7,IN-2019-100007,04-02-2019,West,Furniture,Furnishings,Fur-Fu-10002,D'Decor Curtains,2309.62,2,0.0,241.75
8,IN-2023-100008,09-02-2023,East,Office Supplies,Binders,Off-Bi-10002,Kangaroo File Binder,489.4,4,0.2,20.9
9,IN-2023-100009,17-10-2023,Central,Furniture,Tables,Fur-Ta-10004,DeckUp Engineered Wood Table,23612.94,3,0.0,2566.14
10,IN-2019-100010,05-08-2019,Central,Furniture,Chairs,Fur-Ch-10001,Godrej Ergonomic Chair,6175.64,3,0.5,-2302.13
11,IN-2020-100011,09-10-2020,Central,Technology,Copiers,Tec-Co-10003,Epson EcoTank Printer,33883.97,3,0.1,1882.29
12,IN-2019-100012,19-08-2019,West,Furniture,Furnishings,Fur-Fu-10003,Welspun Towel,4751.47,4,0.0,413.77
13,IN-2023-100013,17-05-2023,Central,Furniture,Bookcases,Fur-Bo-10004,Bluewud Book Case,19393.97,2,0.0,1201.64
14,IN-2023-100014,25-01-2023,East,Furniture,Chairs,Fur-Ch-10002,Featherlite Mesh Chair,4280.46,1,0.0,518.22
15,IN-2023-100015,27-04-2023,Central,Furniture,Bookcases,Fur-Bo-10003,Supreme Storage Rack,35822.67,4,0.0,4282.66
16,IN-2020-100016,29-04-2020,East,Technology,Phones,Tec-Ph-10003,Samsung Galaxy M34,42559.18,3,0.0,6105.66
17,IN-2022-100017,14-01-2022,Central,Office Supplies,Appliances,Off-Ap-10001,Bajaj Electric Kettle,9334.46,4,0.0,3066.48
18,IN-2022-100018,16-09-2022,Central,Office Supplies,Fasteners,Off-Fa-10004,Solo Rubber Bands,43.25,1,0.0,12.09
19,IN-2020-100019,24-09-2020,Central,Furniture,Chairs,Fur-Ch-10003,Nilkamal Plastic Chair,4509.67,1,0.0,325.65
20,IN-2022-100020,11-06-2022,Central,Technology,Copiers,Tec-Co-10002,HP Laserjet Printer,12139.44,1,0.0,1332.11
21,IN-2020-100021,17-03-2020,Central,Office Supplies,Fasteners,Off-Fa-10002,Oddy Paper Clips,55.78,3,0.5,-16.55
22,IN-2019-100022,02-01-2019,West,Office Supplies,Fasteners,Off-Fa-10001,Kangaroo Stapler Pins,41.07,1,0.0,10.52
23,IN-2020-100023,30-12-2020,Central,Office Supplies,Fasteners,Off-Fa-10004,Solo Rubber Bands,38.96,1,0.0,12.1
24,IN-2021-100024,02-06-2021,West,Office Supplies,Labels,Off-La-10003,Deluxe Barcode Labels,158.95,3,0.0,40.0
25,IN-2020-100025,08-04-2020,South,Technology,Machines,Tec-Ma-10004,Barcode Scanner,15356.4,2,0.0,2057.36
26,IN-2021-100026,13-05-2021,East,Furniture,Chairs,Fur-Ch-10004,Supreme Plastic Chair,4893.06,1,0.0,411.54
27,IN-2020-100027,17-04-2020,West,Technology,Copiers,Tec-Co-10002,HP Laserjet Printer,22697.04,2,0.0,5613.55
28,IN-2023-100028,15-05-2023,South,Office Supplies,Paper,Off-Pa-10004,TNPL Copier Paper,1011.66,5,0.2,63.47
29,IN-2022-100029,10-06-2022,East,Technology,Machines,Tec-Ma-10004,Barcode Scanner,32968.97,4,0.1,4640.36
30,IN-2020-100030,09-08-2020,South,Office Supplies,Supplies,Off-Su-10004,Deluxe Ruler,163.71,2,0.3,21.36
31,IN-2021-100031,02-07-2021,Central,Office Supplies,Binders,Off-Bi-10002,Kangaroo File Binder,309.12,2,0.0,90.4
32,IN-2021-100032,11-03-2021,West,Furniture,Furnishings,Fur-Fu-10004,Raymond Cushions,1132.74,1,0.1,28.6
33,IN-2020-100033,18-11-2020,Central,Technology,Copiers,Tec-Co-10002,HP Laserjet Printer,7969.9,1,0.3,-440.9
34,IN-2020-100034,13-03-2020,Central,Technology,Copiers,Tec-Co-10002,HP Laserjet Printer,12348.25,1,0.0,2835.47
35,IN-2021-100035,16-10-2021,South,Technology,Machines,Tec-Ma-10003,Spiral Binding Machine,11586.19,3,0.5,-3817.75
36,IN-2021-100036,05-12-2021,South,Office Supplies,Storage,Off-St-10004,Solo Desktop Organizer,868.53,1,0.0,298.19
37,IN-2022-100037,27-01-2022,Central,Furniture,Furnishings,Fur-Fu-10003,Welspun Towel,1125.82,1,0.0,110.92
38,IN-2019-100038,18-01-2019,South,Office Supplies,Labels,Off-La-10002,Solo Label Sheets,228.52,5,0.0,64.95
39,IN-2023-100039,14-08-2023,West,Technology,Copiers,Tec-Co-10002,HP Laserjet Printer,50311.38,4,0.0,10332.58
40,IN-2022-100040,14-04-2022,East,Furniture,Tables,Fur-Ta-10003,Supreme Computer Table,14268.62,2,0.0,829.85
41,IN-2021-100041,21-06-2021,South,Furniture,Furnishings,Fur-Fu-10001,Bombay Dyeing Bed Sheet,1175.23,1,0.0,162.96
42,IN-2022-100042,12-03-2022,Central,Office Supplies,Binders,Off-Bi-10004,Oddy Ring Binder,272.16,2,0.0,70.36
43,IN-2022-100043,22-02-2022,West,Office Supplies,Labels,Off-La-10001,Oddy Self Adhesive Labels,53.23,1,0.0,9.34
44,IN-2021-100044,19-09-2021,Central,Furniture,Furnishings,Fur-Fu-10004,Raymond Cushions,5353.85,5,0.1,74.32
45,IN-2022-100045,05-10-2022,East,Technology,Copiers,Tec-Co-10004,Brother Monochrome Printer,39426.13,3,0.0,5852.55
46,IN-2020-100046,18-10-2020,Central,Technology,Copiers,Tec-Co-10004,Brother Monochrome Printer,34206.2,3,0.0,3835.57
47,IN-2022-100047,24-02-2022,South,Furniture,Chairs,Fur-Ch-10002,Featherlite Mesh Chair,17792.47,4,0.0,1056.65
48,IN-2023-100048,13-06-2023,Central,Furniture,Chairs,Fur-Ch-10001,Godrej Ergonomic Chair,23570.54,5,0.0,2620.39
49,IN-2019-100049,04-09-2019,East,Office Supplies,Storage,Off-St-10001,Godrej Plastic Drawer,774.7,1,0.0,130.79
50,IN-2019-100050,04-04-2019,West,Office Supplies,Art,Off-Ar-10001,Cello Colour Bombs,183.91,2,0.0,45.0
51,IN-2022-100051,05-08-2022,West,Office Supplies,Envelopes,Off-En-10003,Oddy Window Envelope,69.75,1,0.2,5.38
52,IN-2021-100052,31-01-2021,East,Office Supplies,Paper,Off-Pa-10004,TNPL Copier Paper,466.29,2,0.0,129.85
53,IN-2020-100053,11-05-2020,Central,Technology,Machines,Tec-Ma-10004,Barcode Scanner,17249.45,2,0.0,3823.87
54,IN-2022-100054,21-12-2022,South,Technology,Phones,Tec-Ph-10001,OnePlus Nord,28240.11,2,0.0,3733.01
55,IN-2022-100055,18-08-2022,West,Furniture,Bookcases,Fur-Bo-10002,Nilkamal Book Shelf,16456.28,2,0.0,2213.16
56,IN-2023-100056,14-06-2023,West,Office Supplies,Storage,Off-St-10001,Godrej Plastic Drawer,1661.72,2,0.0,560.55
57,IN-2022-100057,31-10-2022,Central,Furniture,Chairs,Fur-Ch-10001,Godrej Ergonomic Chair,3788.73,1,0.1,284.64
58,IN-2023-100058,09-09-2023,East,Office Supplies,Paper,Off-Pa-10003,BILT Copy Power Paper,536.71,2,0.0,106.12
59,IN-2023-100059,15-09-2023,South,Technology,Phones,Tec-Ph-10003,Samsung Galaxy M34,16207.66,1,0.0,3630.01
60,IN-2022-100060,27-09-2022,South,Technology,Copiers,Tec-Co-10001,Canon Pixma Printer,11790.45,1,0.1,1151.69
61,IN-2023-100061,25-12-2023,West,Technology,Machines,Tec-Ma-10004,Barcode Scanner,17448.25,2,0.0,2512.23
62,IN-2021-100062,14-11-2021,Central,Technology,Phones,Tec-Ph-10004,Realme Narzo,79219.44,5,0.0,18984.1
63,IN-2022-100063,24-04-2022,East,Office Supplies,Envelopes,Off-En-10003,Oddy Window Envelope,310.46,4,0.0,55.45
64,IN-2022-100064,02-01-2022,West,Furniture,Chairs,Fur-Ch-10002,Featherlite Mesh Chair,4680.87,1,0.0,618.75
65,IN-2020-100065,25-09-2020,West,Furniture,Chairs,Fur-Ch-10001,Godrej Ergonomic Chair,3658.54,1,0.2,47.69
66,IN-2023-100066,08-08-2023,East,Technology,Phones,Tec-Ph-10001,OnePlus Nord,43886.34,3,0.0,9504.55
67,IN-2022-100067,20-04-2022,East,Technology,Accessories,Tec-Ac-10002,Logitech Wireless Mouse,789.51,1,0.0,126.94
68,IN-2023-100068,20-07-2023,West,Furniture,Bookcases,Fur-Bo-10001,Godrej Steel Almirah,27977.61,3,0.0,2518.61
69,IN-2023-100069,12-03-2023,South,Furniture,Furnishings,Fur-Fu-10001,Bombay Dyeing Bed Sheet,1311.17,1,0.0,192.73
70,IN-2021-100070,25-03-2021,South,Office Supplies,Envelopes,Off-En-10003,Oddy Window Envelope,304.19,4,0.0,50.22
71,IN-2019-100071,16-02-2019,South,Furniture,Tables,Fur-Ta-10003,Supreme Computer Table,15382.67,2,0.0,2155.36
72,IN-2021-100072,28-08-2021,Central,Office Supplies,Supplies,Off-Su-10002,Kangaroo Paper Punch,245.77,2,0.0,46.11
73,IN-2019-100073,31-03-2019,Central,Office Supplies,Binders,Off-Bi-10004,Oddy Ring Binder,82.12,1,0.5,-17.27
74,IN-2022-100074,14-03-2022,South,Furniture,Chairs,Fur-Ch-10004,Supreme Plastic Chair,8587.72,2,0.0,494.82
75,IN-2020-100075,25-01-2020,West,Technology,Machines,Tec-Ma-10001,Lamination Machine,11705.42,2,0.3,182.88
76,IN-2021-100076,26-05-2021,South,Technology,Machines,Tec-Ma-10001,Lamination Machine,12699.94,3,0.5,-4362.29
77,IN-2022-100077,29-07-2022,East,Furniture,Tables,Fur-Ta-10003,Supreme Computer Table,24022.48,3,0.0,2197.62
78,IN-2020-100078,20-01-2020,South,Technology,Accessories,Tec-Ac-10004,Mi Power Bank 10000mAh,1319.93,3,0.5,-418.0
79,IN-2021-100079,23-09-2021,South,Furniture,Tables,Fur-Ta-10002,Nilkamal Study Table,7111.63,1,0.0,534.4
80,IN-2020-100080,15-11-2020,South,Office Supplies,Paper,Off-Pa-10001,Century Star A4 Paper,682.03,3,0.0,105.33
81,IN-2019-100081,07-09-2019,West,Office Supplies,Labels,Off-La-10003,Deluxe Barcode Labels,107.04,2,0.0,28.06
82,IN-2023-100082,24-10-2023,East,Furniture,Chairs,Fur-Ch-10004,Supreme Plastic Chair,7971.27,2,0.1,465.37
83,IN-2019-100083,16-03-2019,East,Technology,Accessories,Tec-Ac-10004,Mi Power Bank 10000mAh,776.09,1,0.0,123.27
84,IN-2021-100084,08-05-2021,East,Technology,Accessories,Tec-Ac-10004,Mi Power Bank 10000mAh,1267.43,2,0.2,24.96
85,IN-2022-100085,03-02-2022,East,Furniture,Chairs,Fur-Ch-10001,Godrej Ergonomic Chair,4883.93,1,0.0,370.32
86,IN-2021-100086,10-09-2021,South,Office Supplies,Labels,Off-La-10001,Oddy Self Adhesive Labels,47.09,1,0.0,10.28
87,IN-2019-100087,21-04-2019,South,Technology,Copiers,Tec-Co-10004,Brother Monochrome Printer,11133.19,1,0.0,1417.05
88,IN-2023-100088,16-09-2023,South,Technology,Machines,Tec-Ma-10003,Spiral Binding Machine,18608.58,2,0.0,2485.68
89,IN-2023-100089,18-12-2023,South,Office Supplies,Labels,Off-La-10001,Oddy Self Adhesive Labels,100.69,2,0.0,33.11
90,IN-2022-100090,06-01-2022,West,Furniture,Bookcases,Fur-Bo-10001,Godrej Steel Almirah,8966.06,1,0.0,907.06
91,IN-2019-100091,17-04-2019,East,Furniture,Chairs,Fur-Ch-10002,Featherlite Mesh Chair,16504.26,4,0.0,2452.96
92,IN-2019-100092,30-10-2019,East,Office Supplies,Fasteners,Off-Fa-10002,Oddy Paper Clips,83.96,2,0.0,16.83
93,IN-2021-100093,27-10-2021,East,Technology,Copiers,Tec-Co-10002,HP Laserjet Printer,26095.52,3,0.2,733.86
94,IN-2021-100094,04-11-2021,Central,Furniture,Bookcases,Fur-Bo-10001,Godrej Steel Almirah,8203.62,1,0.1,27.6
95,IN-2019-100095,06-05-2019,Central,Furniture,Chairs,Fur-Ch-10001,Godrej Ergonomic Chair,8390.15,2,0.1,371.59
96,IN-2019-100096,21-04-2019,Central,Technology,Accessories,Tec-Ac-10002,Logitech Wireless Mouse,1627.69,2,0.0,255.25
97,IN-2020-100097,04-09-2020,West,Office Supplies,Binders,Off-Bi-10003,Deluxe Lever Arch File,164.6,1,0.0,32.5
98,IN-2020-100098,23-10-2020,South,Office Supplies,Labels,Off-La-10003,Deluxe Barcode Labels,107.02,2,0.0,33.3
99,IN-2023-100099,15-08-2023,East,Furniture,Bookcases,Fur-Bo-10003,Supreme Storage Rack,8838.71,2,0.5,-3878.39
100,IN-2022-100100,07-09-2022,Central,Technology,Machines,Tec-Ma-10003,Spiral Binding Machine,24265.3,3,0.0,4860.25
101,IN-2023-100101,04-01-2023,West,Technology,Copiers,Tec-Co-10004,Brother Monochrome Printer,25625.2,2,0.0,6283.28
102,IN-2021-100102,15-04-2021,East,Furniture,Furnishings,Fur-Fu-10001,Bombay Dyeing Bed Sheet,2249.52,2,0.1,7.14
103,IN-2019-100103,19-05-2019,East,Furniture,Bookcases,Fur-Bo-10003,Supreme Storage Rack,8705.89,1,0.0,490.47
104,IN-2019-100104,21-06-2019,West,Furniture,Furnishings,Fur-Fu-10002,D'Decor Curtains,1113.32,1,0.0,68.66
105,IN-2021-100105,29-06-2021,Central,Office Supplies,Fasteners,Off-Fa-10003,Deluxe Binder Clips,39.09,1,0.1,11.24
106,IN-2019-100106,30-11-2019,South,Technology,Phones,Tec-Ph-10002,Redmi Note 12,12329.54,1,0.1,1610.43
107,IN-2022-100107,04-10-2022,Central,Technology,Phones,Tec-Ph-10001,OnePlus Nord,13990.97,1,0.0,3108.6
108,IN-2022-100108,03-11-2022,West,Office Supplies,Art,Off-Ar-10001,Cello Colour Bombs,352.26,4,0.1,64.21
109,IN-2023-100109,30-03-2023,Central,Technology,Phones,Tec-Ph-10002,Redmi Note 12,29632.47,2,0.0,4542.79
110,IN-2021-100110,03-10-2021,East,Office Supplies,Envelopes,Off-En-10004,Deluxe Courier Envelope,80.69,1,0.0,17.47
111,IN-2022-100111,17-04-2022,Central,Office Supplies,Art,Off-Ar-10003,Camel Acrylic Paint,359.67,4,0.1,75.2
112,IN-2019-100112,06-06-2019,West,Furniture,Chairs,Fur-Ch-10001,Godrej Ergonomic Chair,4719.55,1,0.0,504.94
113,IN-2023-100113,26-03-2023,South,Technology,Accessories,Tec-Ac-10001,SanDisk 64GB Pendrive,805.84,1,0.0,135.82
114,IN-2021-100114,05-08-2021,Central,Technology,Phones,Tec-Ph-10004,Realme Narzo,12768.98,1,0.1,1946.63
115,IN-2019-100115,05-04-2019,East,Technology,Machines,Tec-Ma-10004,Barcode Scanner,23404.54,3,0.1,4407.21
116,IN-2021-100116,21-05-2021,West,Office Supplies,Supplies,Off-Su-10003,Oddy Cutter,261.47,2,0.0,69.88
117,IN-2021-100117,15-08-2021,West,Furniture,Chairs,Fur-Ch-10003,Nilkamal Plastic Chair,13751.0,3,0.0,1950.92
118,IN-2022-100118,02-03-2022,Central,Furniture,Furnishings,Fur-Fu-10003,Welspun Towel,1218.31,1,0.0,112.59
119,IN-2021-100119,18-11-2021,West,Furniture,Tables,Fur-Ta-10003,Supreme Computer Table,6919.86,2,0.5,-2533.43
120,IN-2022-100120,20-04-2022,East,Furniture,Chairs,Fur-Ch-10003,Nilkamal Plastic Chair,4254.66,1,0.0,374.11
121,IN-2022-100121,25-08-2022,South,Office Supplies,Art,Off-Ar-10001,Cello Colour Bombs,96.67,1,0.0,24.89
122,IN-2019-100122,16-03-2019,West,Office Supplies,Fasteners,Off-Fa-10002,Oddy Paper Clips,86.7,2,0.0,13.57
123,IN-2021-100123,01-02-2021,East,Office Supplies,Supplies,Off-Su-10001,Solo Scissors,188.89,2,0.2,18.41
124,IN-2019-100124,04-03-2019,East,Office Supplies,Binders,Off-Bi-10001,Solo Ring Binder,328.53,2,0.0,85.9
125,IN-2019-100125,08-12-2019,Central,Technology,Phones,Tec-Ph-10004,Realme Narzo,30572.31,2,0.0,6496.43
126,IN-2021-100126,09-08-2021,East,Office Supplies,Paper,Off-Pa-10001,Century Star A4 Paper,266.83,1,0.0,55.72
127,IN-2022-100127,26-10-2022,East,Office Supplies,Binders,Off-Bi-10002,Kangaroo File Binder,294.05,2,0.0,53.24
128,IN-2022-100128,11-07-2022,South,Technology,Copiers,Tec-Co-10003,Epson EcoTank Printer,11449.79,1,0.0,1846.97
129,IN-2019-100129,28-03-2019,East,Office Supplies,Fasteners,Off-Fa-10001,Kangaroo Stapler Pins,80.83,2,0.0,15.29
130,IN-2023-100130,26-11-2023,South,Office Supplies,Appliances,Off-Ap-10003,Havells Induction Cooktop,4740.97,2,0.0,1394.62
131,IN-2019-100131,06-04-2019,Central,Office Supplies,Supplies,Off-Su-10002,Kangaroo Paper Punch,352.6,3,0.0,67.35
132,IN-2021-100132,04-01-2021,East,Office Supplies,Fasteners,Off-Fa-10002,Oddy Paper Clips,37.66,1,0.0,7.02
133,IN-2023-100133,21-04-2023,South,Office Supplies,Binders,Off-Bi-10001,Solo Ring Binder,435.76,3,0.0,98.45
134,IN-2020-100134,15-04-2020,East,Furniture,Chairs,Fur-Ch-10002,Featherlite Mesh Chair,10503.56,3,0.2,-557.2
135,IN-2023-100135,10-03-2023,West,Furniture,Tables,Fur-Ta-10002,Nilkamal Study Table,14565.29,2,0.1,538.42
136,IN-2022-100136,12-02-2022,South,Office Supplies,Appliances,Off-Ap-10004,Philips Hair Dryer,4314.24,2,0.0,1203.72
137,IN-2020-100137,08-05-2020,Central,Office Supplies,Binders,Off-Bi-10003,Deluxe Lever Arch File,319.36,2,0.0,99.96
138,IN-2019-100138,10-02-2019,West,Office Supplies,Paper,Off-Pa-10001,Century Star A4 Paper,532.97,2,0.0,81.12
139,IN-2019-100139,27-01-2019,South,Technology,Accessories,Tec-Ac-10003,Zebronics Keyboard,1632.17,2,0.0,206.15
